pdf_link	date	title	broker_name	file_name	content_file
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702596032912.pdf	23.12.15	채권 Daily (12.15)	유안타증권	23.12.15_1702596032912.pdf	23.12.15_1702596032912.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702529452016.pdf	23.12.14	[12월 FOMC Review] 마치 성장주와 같은 채권	하나증권	23.12.14_1702529452016.pdf	23.12.14_1702529452016.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702512331973.pdf	23.12.14	[한화 FOMC Review] 오늘이 가장 높은 날	한화투자증권	23.12.14_1702512331973.pdf	23.12.14_1702512331973.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702512253844.pdf	23.12.14	12월 FOMC: 물가에 대한 승리 선언만 없었다. 이제 시..	교보증권	23.12.14_1702512253844.pdf	23.12.14_1702512253844.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702512190127.pdf	23.12.14	Credit Letter	교보증권	23.12.14_1702512190127.pdf	23.12.14_1702512190127.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702512093941.pdf	23.12.14	미국 채권시장, 비둘기파적으로 해석된 12월 FOMC에 ..	교보증권	23.12.14_1702512093941.pdf	23.12.14_1702512093941.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702511928569.pdf	23.12.14	12월 FOMC Review: 점도표로는 부족했지만 파웰의장 ..	이베스트증권	23.12.14_1702511928569.pdf	23.12.14_1702511928569.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702511006628.pdf	23.12.14	브라질, 편안한 인하 국면	신한투자증권	23.12.14_1702511006628.pdf	23.12.14_1702511006628.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702510913942.pdf	23.12.14	Daily Bond Morning Brief(2023.12.14)	다올투자증권	23.12.14_1702510913942.pdf	23.12.14_1702510913942.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702510514720.pdf	23.12.14	Eugenes FICC Update	유진투자증권	23.12.14_1702510514720.pdf	23.12.14_1702510514720.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702510336361.pdf	23.12.14	[12월 FOMC] 연준 정책 선회 공식화	미래에셋증권	23.12.14_1702510336361.pdf	23.12.14_1702510336361.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702510001678.pdf	23.12.14	바뀐 금리 인하 시점 기대치	IBK투자증권	23.12.14_1702510001678.pdf	23.12.14_1702510001678.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702509908707.pdf	23.12.14	채권 Daily (12.14)	유안타증권	23.12.14_1702509908707.pdf	23.12.14_1702509908707.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702509798208.pdf	23.12.14	12월 FOMC Review: 2024년 인하 가능성 상정	키움증권	23.12.14_1702509798208.pdf	23.12.14_1702509798208.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702509110729.pdf	23.12.14	12월 FOMC: 연준은 분명 달라졌으나 파티는 아직	하이투자증권	23.12.14_1702509110729.pdf	23.12.14_1702509110729.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702432105363.pdf	23.12.13	미국 IG 회사채 유통시장 동향 및 전략	신한투자증권	23.12.13_1702432105363.pdf	23.12.13_1702432105363.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702428812882.pdf	23.12.13	‘Bad is Good’, 금리 레벨이 중요	메리츠증권	23.12.13_1702428812882.pdf	23.12.13_1702428812882.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702425710247.pdf	23.12.13	미국 채권시장, 예상치에 부합한 미 11월 CPI에 장기..	교보증권	23.12.13_1702425710247.pdf	23.12.13_1702425710247.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702425583074.pdf	23.12.13	친구따라 강남갈까?	하나증권	23.12.13_1702425583074.pdf	23.12.13_1702425583074.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702425484126.pdf	23.12.13	[미국 11월 CPI Review] 12월 FOMC가 단기 저점	하나증권	23.12.13_1702425484126.pdf	23.12.13_1702425484126.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702424494477.pdf	23.12.13	Eugenes FICC Update	유진투자증권	23.12.13_1702424494477.pdf	23.12.13_1702424494477.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702424059610.pdf	23.12.13	Daily Bond Morning Brief(2023.12.13)	다올투자증권	23.12.13_1702424059610.pdf	23.12.13_1702424059610.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702423027368.pdf	23.12.13	채권 Daily (12.13)	유안타증권	23.12.13_1702423027368.pdf	23.12.13_1702423027368.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702339156222.pdf	23.12.12	[크레딧] 개인의 크레딧 시장참여 확대	한화투자증권	23.12.12_1702339156222.pdf	23.12.12_1702339156222.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702339028872.pdf	23.12.12	미국 채권시장, 미 12월 FOMC 및 물가 경계감 지속되..	교보증권	23.12.12_1702339028872.pdf	23.12.12_1702339028872.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702338253446.pdf	23.12.12	Daily Bond Morning Brief(2023.12.12)	다올투자증권	23.12.12_1702338253446.pdf	23.12.12_1702338253446.txt
